Address,Latitude,Longitude
"1720 15th Ave, Seattle, WA 98122",47.616700717773,-122.312844671419
"43918 SE 143rd St, North Bend, WA 98045",47.470942,-121.783493
"1100 King St, San Gabriel, CA 91776",34.08225383536,-118.097869573478
"5 Rue des Hameaux de la Plaine, 86000 Poitiers, France",46.59645,0.34076
"Via Niccolò Machiavelli, 64, 06121 Perugia PG, Italy",43.105856,12.388528
"Eiffel Tower, Champ de Mars, Paris 75007, France",48.8583701,2.2944813
"10 Haret Al Zaablawi, Al Gazirah Al Gadidah, Abdeen, Cairo Governorate 4280024, Egypt",30.045378,31.243586
"33 Molesey Ave, Auckland Park, Johannesburg, 2092, South Africa",-26.189449,28.001023
"4 Othaya Rd, Nairobi, Kenya",-1.29536138916,36.757978439331
"623, 5th Main Rd, 4th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.9938,77.55325
"Hinduban Tarun Mandal, 82, Jain Mandir Rd, Raviwar Peth, Pune, Maharashtra 411002, India",18.512915,73.858577
"39 Trần Bình Trọng, Phường Lê Lợi, Quy Nhơn, Bình Định, Vietnam",13.770196,109.22309
"30 Etemad-ul-dawla St, Kabul, Afghanistan",34.552099111842,69.157349552459
"شارع المشاط, Baghdad, Baghdad Governorate, Iraq",33.316515,44.35187
"Tehran Province, Tehran, Khojasteh Alley, No. Number 11, Iran",35.712947,51.418667
"No. 18, Lane 113, Qiaocheng Rd, Dali District, Taichung City, Taiwan 412",24.096701,120.693762
"710, Taiwan, Tainan City, Yongkang District, 中興街216巷35弄22號",23.0366,120.2517
"Japan, 〒182-0012 Tokyo, Chofu, Jindaiji Higashimachi, 5-chōme- 1 9 -11",35.675362,139.559257
"1-chōme-11-30 Fukaekita, Higashinari Ward, Osaka, 537-0001, Japan",34.6665939,135.5587349
"203 Custer St, Comstock, NE 68828",41.568668,-99.255451
"4801 County Rd 37, Hazen, ND 58545",47.313748,-101.64297
"9730 129 St, Surrey, BC V3T 3G4, Canada",49.186545,-122.841443
"R. do Tubo, 576 - Pernambués, Salvador - BA, 41100-585, Brazil",-12.991953,-38.455792
"Arturo Prat 770, 1271575 Antofagasta, Chile",-23.6523,-70.3945
That one McDonald's in downtown Seattle that always has stabbings,47.61002,-122.33858
"1204 16th Ave S, Nashville, TN 37212",36.142319,-86.79662
"1302 Stratford Ave, Nashville, TN 37216",36.201789,-86.716189
"310 S Presley St, Atmore, AL 36502",31.02173,-87.496034
"606 Virginia Ave, Opp, AL 36467",31.283238,-86.251497
"3018 W State St, Tampa, FL 33609",27.962269,-82.487957
