Address,Latitude,Longitude
"1720 15th Ave, Seattle, WA 98122",47.616279,-122.312751
"43918 SE 143rd St, North Bend, WA 98045",47.472130,-121.737160
"1100 King St, San Gabriel, CA 91776",34.083150,-118.115210
"5 Rue des Hameaux de la Plaine, 86000 Poitiers, France",46.585480,0.388810
"Via Niccolò Machiavelli, 64, 06121 Perugia PG, Italy",43.112930,12.383990
"Eiffel Tower, Champ de Mars, Paris 75007, France",48.858370,2.294481
"10 Haret Al Zaablawi, Al Gazirah Al Gadidah, Abdeen, Cairo Governorate 4280024, Egypt",30.048310,31.239230
"33 Molesey Ave, Auckland Park, Johannesburg, 2092, South Africa",-26.184870,28.015150
"4 Othaya Rd, Nairobi, Kenya",-1.279450,36.792470
"623, 5th Main Rd, 4th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.994890,77.553110
"Hinduban Tarun Mandal, 82, Jain Mandir Rd, Raviwar Peth, Pune, Maharashtra 411002, India",18.517280,73.859320
"39 Trần Bình Trọng, Phường Lê Lợi, Quy Nhơn, Bình Định, Vietnam",13.772100,109.226160
"30 Etemad-ul-dawla St, Kabul, Afghanistan",34.528650,69.169120
"شارع المشاط, Baghdad, Baghdad Governorate, Iraq",33.325830,44.383120
"Tehran Province, Tehran, Khojasteh Alley, No. Number 11, Iran",35.718540,51.411670
"No. 18, Lane 113, Qiaocheng Rd, Dali District, Taichung City, Taiwan 412",24.104250,120.703180
"710, Taiwan, Tainan City, Yongkang District, 中興街216巷35弄22號",23.024460,120.235680
"Japan, 〒182-0012 Tokyo, Chofu, Jindaiji Higashimachi, 5-chōme- 1 9 -11",35.671120,139.555890
"1-chōme-11-30 Fukaekita, Higashinari Ward, Osaka, 537-0001, Japan",34.677930,135.553740
"203 Custer St, Comstock, NE 68828",41.614210,-99.258980
"4801 County Rd 37, Hazen, ND 58545",47.365850,-101.622150
"9730 129 St, Surrey, BC V3T 3G4, Canada",49.180150,-122.877190
"R. do Tubo, 576 - Pernambués, Salvador - BA, 41100-585, Brazil",-12.967480,-38.465510
"Arturo Prat 770, 1271575 Antofagasta, Chile",-23.651370,-70.398510
"That one McDonald's in downtown Seattle that always has stabbings (Estimated: 1530 3rd Ave, Seattle, WA 98101)",47.609060,-122.338010
