Address,Latitude,Longitude
"1720 15th Ave, Seattle, WA 98122",47.611672,-122.314422
"43918 SE 143rd St, North Bend, WA 98045",47.423611111111,-121.751944444444
"1100 King St, San Gabriel, CA 91776",34.09614,-118.10523
"5 Rue des Hameaux de la Plaine, 86000 Poitiers, France",46.580299999999,0.340399999999
"Via Niccolò Machiavelli, 64, 06121 Perugia PG, Italy",43.10277684082,12.388611111111
"Eiffel Tower, Champ de Mars, Paris 75007, France",48.858373123456,2.292292929292
"10 Haret Al Zaablawi, Al Gazirah Al Gadidah, Abdeen, Cairo Governorate 4280024, Egypt",30.04585374,31.23571234
"33 Molesey Ave, Auckland Park, Johannesburg, 2092, South Africa",-26.192311111111,28.030277777778
"4 Othaya Rd, Nairobi, Kenya",-1.183333333333,36.816666666667
"623, 5th Main Rd, 4th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.97159876,77.55444523
"Hinduban Tarun Mandal, 82, Jain Mandir Rd, Raviwar Peth, Pune, Maharashtra 411002, India",18.51174983,73.85638046
"39 Trần Bình Trọng, Phường Lê Lợi, Quy Nhơn, Bình Định, Vietnam",13.76666667,109.23333333
"30 Etemad-ul-dawla St, Kabul, Afghanistan",34.512484694444,69.178740083333
"شارع المشاط, Baghdad, Baghdad Governorate, Iraq",33.340659123456,44.385210987654
"Tehran Province, Tehran, Khojasteh Alley, No. Number 11, Iran",35.72784521,51.43814712
"No. 18, Lane 113, Qiaocheng Rd, Dali District, Taichung City, Taiwan 412",24.092436,120.684475
"710, Taiwan, Tainan City, Yongkang District, 中興街216巷35弄22號",23.044943,120.251105
"Japan, 〒182-0012 Tokyo, Chofu, Jindaiji Higashimachi, 5-chōme- 1 9 -11",35.669743,139.544079
"1-chōme-11-30 Fukaekita, Higashinari Ward, Osaka, 537-0001, Japan",34.66938378,135.54403012
"203 Custer St, Comstock, NE 68828",41.556389,-99.245556
"4801 County Rd 37, Hazen, ND 58545",47.294872222222,-101.623097222222
"9730 129 St, Surrey, BC V3T 3G4, Canada",49.164444444444,-122.657777777778
"R. do Tubo, 576 - Pernambués, Salvador - BA, 41100-585, Brazil",-12.977777777778,-38.510277777778
"Arturo Prat 770, 1271575 Antofagasta, Chile",-23.648889,-70.398056
That one McDonald's in downtown Seattle that always has stabbings,47.60231912,-122.33207123
"1204 16th Ave S, Nashville, TN 37212",36.13499876,-86.79944211
"1302 Stratford Ave, Nashville, TN 37216",36.174722976074,-86.755556106567
"310 S Presley St, Atmore, AL 36502",31.023456789012,-87.493456789012
"606 Virginia Ave, Opp, AL 36467",31.321456789012,-86.494321098765
"3018 W State St, Tampa, FL 33609",27.947314,-82.457528
"137 Allen St, New York, NY 10002",40.72564167,-73.99404444
"64 E 118th St, New York, NY 10035",40.798611111111,-73.943888888889
"1353 Harrod Ave, Bronx, NY 10472",40.827451,-73.880428
That one really old statue of a cat with a human face in Egypt,29.870849999999,31.225299999999
